Customer ID;Name;Surname;Gender;Birthdate
752858;Sean;Rodriguez;F;2002.10.20
26381;Michelle;Phelps;;1985.10.24
305449;Jacob;Williams;M;1981.10.25
988259;Nathan;Snyder;M;1977.10.26
764762;Crystal;Knapp;F;1951.11.02
576539;Monica;Bartlett;F;2001.10.20
124681;Thomas;Shaw;;1976.10.26
521807;Kelsey;Pena;F;1968.10.28
504238;Denise;Porter;M;1957.10.31
583532;Alexander;Richardson;F;1974.10.27
924841;Kimberly;Ball;M;1976.10.26
123235;Hunter;Peters;M;1971.10.28
840546;Julie;Russell;M;1968.10.28
516709;Christopher;Harris;M;2004.10.19
683760;Amber;Brown;M;2004.10.19
777948;Amy;Pierce;F;1966.10.29
440706;Elizabeth;Barnes;F;1957.10.31
793150;Chad;Reese;;1962.10.30
27213;Michelle;Holden;M;1949.11.02
401993;Steven;Smith;M;1999.10.21
103920;Patrick;Price;M;1977.10.26
943548;Daniel;Pitts;;1995.10.22
178351;Robert;Rice;F;1993.10.22
615357;Sara;Michael;M;1993.10.22
111696;Anthony;Miller;;1991.10.23
6905;Jessica;White;M;1981.10.25
291542;Kimberly;Ross;M;1959.10.31
517389;Brian;Jones;F;1956.10.31
744599;William;Contreras;F;2003.10.20
726547;Adam;Hansen;;1966.10.29
485562;Betty;Atkinson;F;1994.10.22
28347;Pamela;Nguyen;M;1978.10.26
899551;Sarah;Warner;F;1961.10.30
485255;Amy;Mercer;F;1970.10.28
668341;Manuel;Robinson;M;1961.10.30
355400;Aaron;Martinez;F;1978.10.26
796123;Darlene;Tucker;M;1953.11.01
343329;Hannah;Maynard;M;1980.10.25
409886;Benjamin;Rice;M;2000.10.20
11697;Jason;Johnson;F;2001.10.20
13908;Scott;Harrison;F;2003.10.20
373595;Emily;Mcdaniel;F;1987.10.24
599093;Thomas;Salas;;1956.10.31
370834;Katherine;Howard;F;1997.10.21
261654;Kevin;Harris;;1977.10.26
232533;Jose;Gould;M;1958.10.31
555415;Meghan;Acosta;F;1962.10.30
717993;Michael;Huang;M;1998.10.21
573771;Dana;Hunt;F;1991.10.23
59223;Lisa;Ross;F;1949.11.02
801291;Sydney;Spencer;;1980.10.25
858686;Brian;Mcintyre;F;2003.10.20
652558;Melanie;Greene;F;1995.10.22
39683;Anthony;Hoffman;M;1982.10.25
344613;Michelle;Kim;F;1957.10.31
62730;Matthew;Aguilar;M;1978.10.26
816425;Tammy;Williams;F;1966.10.29
641954;Justin;Mathews;F;1995.10.22
904827;Matthew;Hobbs;F;1963.10.30
779830;Ann;Sullivan;F;1955.11.01
765738;Joshua;Burgess;F;1998.10.21
805732;Sabrina;White;F;1980.10.25
982485;Leslie;Campbell;;1982.10.25
955318;Jeffery;Morgan;F;1972.10.27
738539;Mary;Pittman;;2005.10.19
396758;Ashley;Carr;M;1976.10.26
884080;Joseph;Meadows;F;1980.10.25
34415;Juan;Kelly;F;1995.10.22
164888;Christina;Ellis;F;2001.10.20
677049;Martha;Gonzales;M;1951.11.02
289003;John;Woods;F;1957.10.31
385557;Keith;Clark;F;2003.10.20
665628;Alejandro;Reed;F;1990.10.23
95705;Amber;Taylor;F;1967.10.29
697024;Michael;Hines;;1961.10.30
273487;David;Morrison;F;2002.10.20
828224;Jennifer;Quinn;M;1949.11.02
641695;Nicholas;Jones;F;2001.10.20
410859;Christy;Ramos;F;1995.10.22
403963;Jamie;Collier;;1970.10.28
526718;Douglas;Martin;M;1967.10.29
364086;Holly;Jackson;M;1952.11.01
178510;Kimberly;Klein;F;1969.10.28
143865;Fernando;Oliver;F;1956.10.31
946664;Yvonne;Silva;M;1958.10.31
800246;Margaret;Carter;;1996.10.21
884621;Charles;Glover;F;1963.10.30
420838;Aaron;Mckee;;1975.10.27
59633;Derrick;Aguilar;M;1967.10.29
361536;Kurt;Dennis;M;1970.10.28
496809;Timothy;Collier;M;1950.11.02
471552;Courtney;Johnson;M;1981.10.25
450062;Joy;Padilla;F;1951.11.02
925651;Carol;Wilson;M;1976.10.26
155186;Lawrence;Williams;F;2005.10.19
838514;Andrew;Armstrong;M;2004.10.19
981118;Anthony;Arnold;M;1971.10.28
658610;Nicole;Peterson;M;1965.10.29
463162;Stephanie;Miller;;1958.10.31
707412;Derek;Thompson;F;1985.10.24
514027;Nicole;Kaufman;;1964.10.29
370935;Hector;Saunders;M;1966.10.29
986863;Jesse;Clark;F;1973.10.27
